Date,Amount,Contractor
978393600.00000000,30102622.0,J&J Maintenance 
978393600.00000000,20000000.0,Raytheon 
978393600.00000000,6000000.0,Lockheed Martin Missile & Fire Control
978393600.00000000,14997446.0,Raytheon 
978393600.00000000,11010530.0,BAE Systems Technologies
978393600.00000000,10020645.0,BAE Systems Technologies
978393600.00000000,5100000.0,RGW Construction 
978480000.00000000,59774821.0,Raytheon 
978480000.00000000,12956000.0,Whitesell-Green 
978480000.00000000,12444000.0,Watterson Construction 
978480000.00000000,9517195.0,Raytheon Systems 
978480000.00000000,6529700.0,Lockheed Martin 
978566400.00000000,160300000.0,Boeing Satellite Systems
978566400.00000000,62106595.0,McDonnell Douglas 
978566400.00000000,46000000.0,Boeing North American
978566400.00000000,5720000.0,Boeing 
978566400.00000000,14640000.0,Rolls-Royce 
978566400.00000000,12117860.0,Northrop Grumman 
978566400.00000000,7465856.0,McKenzie Construction 
978566400.00000000,5473350.0,Corman Construction 
978652800.00000000,63722346.0,BAE Systems Applied Technologies
978652800.00000000,16929837.0,BAE Systems Applied Technologies
978652800.00000000,16909488.0,Engineering Design Group
978652800.00000000,11767253.0,Lockheed Martin Government Electronics Systems
978652800.00000000,13297176.0,Raytheon Mediterranean Systems 
978652800.00000000,2500000.0,Custom Manufacturing & Engineering 
978652800.00000000,12566574.0,Firearms Training Systems 
978652800.00000000,6248990.0,Fordice Construction 
978912000.00000000,267360660.0,Lockheed Martin 
978912000.00000000,46000000.0,United Technologies 
978912000.00000000,38960000.0,Basile
978912000.00000000,36639340.0,Lockheed Martin 
978912000.00000000,45000000.0,Doughties Sysco Foodservices
978912000.00000000,9345162.0,Boeing 
978912000.00000000,5565618.0,Todd Pacific Shipyards 
978998400.00000000,11995594.0,DD 21 Alliance
978998400.00000000,7339150.0,Litton Integrated Systems
978998400.00000000,7000000.0,DD 21 Alliance
979084800.00000000,153344820.0,Bergen Drunswig Drug 
979084800.00000000,146296272.0,Bergen Drunswig Drug 
979084800.00000000,81271408.0,McKesson HBOC
979084800.00000000,48000000.0,CACI Technologies
979084800.00000000,19187824.0,Lockheed Martin 
979084800.00000000,8418800.0,General Electric 
979171200.00000000,21982671.0,Lockheed Martin Space Systems 
979171200.00000000,10166699.0,MKC-WPC
